4 0 4 IJK.BBIJKMDD.AAM.NEE...N..LGG...LHHH A95 B94 D99 E92 G99 H93 I93 J99 K98 L97 M98 N99 
3 0 3 IJK.BBIJK.DD.AAM.NEE.M.N..LGG...LHHH A95 B94 D99 E92 G99 H93 I93 J99 K98 L97 M97 N99 
3 0 3 IJK.BBIJK.DD.AAM.NEELM.N..LGG....HHH A95 B94 D99 E92 G99 H93 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJK.DDAA.M.NEELM.N..LGG....HHH A94 B94 D99 E92 G99 H93 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJK.DDAA.M.NEELM.N..LGG.HHH... A94 B94 D99 E92 G99 H90 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJK.DDAA.M.NEELM.N..LGG.HHH... A94 B93 D99 E92 G99 H90 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJK.DDAA.M.NEELM.N..LGG...HHH. A94 B93 D99 E92 G99 H88 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJK.DDAA.M.NEELM.N..LGG..HHH.. A94 B93 D99 E92 G99 H89 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJK.DDAA.M.NEELM.N..LGG..HHH.. A94 B94 D99 E92 G99 H91 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJK.DDAA.M.NEELM.N..LGG...HHH. A94 B94 D99 E92 G99 H92 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJK.DDAA.M.NEELM.N..LGG....HHH A94 B93 D99 E92 G99 H93 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJK.DDAA.M.NEE.M.N..LGG...LHHH A94 B93 D99 E92 G99 H93 I93 J99 K98 L95 M97 N99 
3 0 3 IJKBB.IJK.DD.AAM.NEELM.N..LGG....HHH A95 B93 D99 E92 G99 H93 I93 J99 K98 L96 M97 N99 
3 0 3 IJK.BBIJK.DDAA.M.NEE.M.N..LGG...LHHH A94 B94 D99 E92 G99 H93 I93 J99 K98 L97 M97 N99 
3 0 3 IJKBB.IJK.DD.AAM.NEE.M.N..LGG...LHHH A95 B93 D99 E92 G99 H93 I93 J99 K98 L97 M97 N99 
4 0 4 IJKBB.IJK.DD.AAM.NEE.M.N..L.GG..LHHH A95 B93 D99 E92 G98 H93 I93 J99 K98 L97 M97 N99 
3 0 3 IJKBB.IJKDD..AAM.NEE.M.N..L.GG..LHHH A95 B93 D98 E92 G98 H93 I93 J99 K98 L97 M97 N99 
3 0 3 IJKBB.IJKDD..AAM.NEELM.N..L.GG...HHH A95 B93 D98 E92 G98 H93 I93 J99 K98 L96 M97 N99 
3 0 3 IJKBB.IJKDD.AA.M.NEELM.N..L.GG...HHH A94 B93 D98 E92 G98 H93 I93 J99 K98 L96 M97 N99 
