1 0 1 ..IJCC..IJ.LAA...L.HDDDL.H.KEE.GGK.. A88 D86 E98 G79 H93 I97 K92 L97 
1 0 1 ..IJCC..IJ.L.AA..L.HDDDL.H.KEE.GGK.. A87 D86 E98 G79 H93 I97 K92 L97 
1 0 1 ..IJCC..IJ.L.AA..L.HDDDL.H.KEEGG.K.. A89 D86 E98 G80 H93 I97 K92 L97 
1 0 1 ...JCC..IJ.L.HIAAL.HDDDL...KEE.GGK.. A91 D86 E98 G81 H94 I98 K92 L97 
1 0 1 ...JCC.HIJ.L.HIAAL.DDD.L...KEE.GGK.. A91 D87 E98 G81 H95 I98 K92 L97 
1 0 1 ...JCC.HIJ.L.HIAAL..DDDL...KEEGG.K.. A91 D86 E98 G82 H95 I98 K92 L97 
1 0 1 ...JCC.HIJ.L.HIAAL.DDD.L...KEEGG.K.. A91 D87 E98 G82 H95 I98 K92 L97 
1 0 1 ..IJCC.HIJ.L.H.AAL.DDD.L...KEEGG.K.. A91 D87 E98 G82 H95 I97 K92 L97 
1 0 1 ...JCC.HIJ.L.HIAALDDDK.L...KEE.GG... A91 D88 E98 G83 H95 I98 K93 L97 
1 0 1 ..IJCC.HIJ.L.H.AALDDDK.L...KEE.GG... A91 D88 E98 G83 H95 I97 K93 L97 
1 0 1 ..IJCC.HIJ.L.H.AALDDDK.L...KEE...GG. A91 D88 E98 G81 H95 I97 K93 L97 
1 0 1 ..IJCC.HIJ.L.H.AALDDDK.L...KEE..GG.. A91 D88 E98 G82 H95 I97 K93 L97 
1 0 1 .H.JCC.HIJ.L..IAALDDDK.L...KEE.GG... A91 D88 E98 G83 H94 I98 K93 L97 
1 0 1 .H.JCC.HIJ.L..IAALDDDK.L...KEE...GG. A91 D88 E98 G81 H94 I98 K93 L97 
1 0 1 .H.JCC.HIJ.L..IAALDDDK.L...KEE..GG.. A91 D88 E98 G82 H94 I98 K93 L97 
1 0 1 ...JCC.HIJ.L.HIAALDDDK.L...KEE..GG.. A91 D88 E98 G84 H95 I98 K93 L97 
