 D right 1		99 BBB.CCI..DDLIAA..LIEEE.L..JKFF..JKHH 
 B right 1		99 .BBBCCI..DDLIAA..LIEEE.L..JKFF..JKHH 
 E right 1		99 .BBBCCI..DDLIAA..LI.EEEL..JKFF..JKHH 
 I  down 2		98 .BBBCC...DDL.AA..LI.EEELI.JKFFI.JKHH 
 A right 2		98 .BBBCC...DDL...AALI.EEELI.JKFFI.JKHH 
 E  left 1		99 .BBBCC...DDL...AALIEEE.LI.JKFFI.JKHH 
 I    up 3		97 IBBBCCI..DDLI..AAL.EEE.L..JKFF..JKHH 
 E  left 1		99 IBBBCCI..DDLI..AALEEE..L..JKFF..JKHH 
 K    up 1		99 IBBBCCI..DDLI..AALEEEK.L..JKFF..J.HH 
 H  left 1		99 IBBBCCI..DDLI..AALEEEK.L..JKFF..JHH. 
 A  left 2		98 IBBBCCI..DDLIAA..LEEEK.L..JKFF..JHH. 
 K    up 1		99 IBBBCCI..DDLIAAK.LEEEK.L..J.FF..JHH. 
 F  left 1		99 IBBBCCI..DDLIAAK.LEEEK.L..JFF...JHH. 
 L  down 2		98 IBBBCCI..DD.IAAK..EEEK.L..JFFL..JHHL 
 D right 1		99 IBBBCCI...DDIAAK..EEEK.L..JFFL..JHHL 
 K    up 1		99 IBBBCCI..KDDIAAK..EEE..L..JFFL..JHHL 
 E right 2		98 IBBBCCI..KDDIAAK....EEEL..JFFL..JHHL 
 I  down 3		97 .BBBCC...KDD.AAK..I.EEELI.JFFLI.JHHL 
 E  left 1		99 .BBBCC...KDD.AAK..IEEE.LI.JFFLI.JHHL 
 I    up 2		98 .BBBCCI..KDDIAAK..IEEE.L..JFFL..JHHL 
 B  left 1		99 BBB.CCI..KDDIAAK..IEEE.L..JFFL..JHHL 
 K    up 1		99 BBBKCCI..KDDIAA...IEEE.L..JFFL..JHHL 
 A right 3		97 BBBKCCI..KDDI...AAIEEE.L..JFFL..JHHL 

A67 B95 C96 D82 E50 F99 H82 I39 J79 K94 L90 
[['B' 'B' 'B' 'K' 'C' 'C']
 ['I' '.' '.' 'K' 'D' 'D']
 ['I' '.' '.' '.' 'A' 'A']
 ['I' 'E' 'E' 'E' '.' 'L']
 ['.' '.' 'J' 'F' 'F' 'L']
 ['.' '.' 'J' 'H' 'H' 'L']]
