Initial board configuration: ..CC.MDD.K.MAA.K.NIEEL.NI.JLGGHHJ...

[['.' '.' 'C' 'C' '.' 'M']
 ['D' 'D' '.' 'K' '.' 'M']
 ['A' 'A' '.' 'K' '.' 'N']
 ['I' 'E' 'E' 'L' '.' 'N']
 ['I' '.' 'J' 'L' 'G' 'G']
 ['H' 'H' 'J' '.' '.' '.']]

Car fuel available: I:100; N:100; M:100; D:100; J:100; C:100; E:100; L:100; A:100; K:100; G:100; H:100; 

Runtime: 3.56699275970459
Search path length: 1294
Solution path length: 113
Solution path: | L  down 1| E right 2| J    up 1| H right 1| I  down 1| A right 1| I    up 2| H  left 1| J  down 1| E  left 2| L    up 1| D right 1| I  down 1| L  down 1| E right 2| J    up 1| H right 1| I    up 3| A  left 1| H  left 1| J  down 1| E  left 3| L    up 1| J    up 1| H right 4| L  down 1| J  down 1| E right 3| J    up 1| A right 1| I  down 4| J  down 1| I    up 3| E  left 3| L    up 1| H  left 1| J    up 1| H  left 3| L  down 1| H right 1| K  down 1| D right 2| H  left 1| J  down 1| E right 1| I  down 2| A  left 1| D  left 2| C right 1| K    up 1| L    up 1| C  left 3| K    up 1| L  down 1| C right 1| L    up 2| G  left 1| N  down 2| A right 1| N    up 1| I    up 3| E  left 1| N  down 1| J    up 1| H right 3| N    up 1| H right 1| J  down 1| E right 1| H  left 1| N  down 1| I  down 4| E  left 1| N    up 1| H right 1| J    up 1| H  left 3| N  down 1| H right 1| A  left 1| H right 1| N    up 1| D  left 1| H right 1| J  down 1| E right 1| H  left 1| N  down 1| I    up 1| A right 1| N    up 1| H right 1| I    up 1| C  left 1| H  left 1| N  down 1| I  down 2| E  left 1| N    up 1| H right 1| J    up 1| H  left 3| N  down 1| H right 1| A  left 1| H right 1| J    up 3| H  left 2| N    up 1| H right 3| G  left 2| L  down 2| A right 4

 H right 1		99 CC.K.MDD.K.M.AAL..EEJL..I.JGGNI.HH.N 
 A  left 1		99 CC.K.MDD.K.MAA.L..EEJL..I.JGGNI.HH.N 
 H right 1		99 CC.K.MDD.K.MAA.L..EEJL..I.JGGNI..HHN 
 J    up 3		97 CCJK.MDDJK.MAA.L..EE.L..I..GGNI..HHN 
 H  left 2		98 CCJK.MDDJK.MAA.L..EE.L..I..GGNIHH..N 
 N    up 1		99 CCJK.MDDJK.MAA.L..EE.L.NI..GGNIHH... 
 H right 3		97 CCJK.MDDJK.MAA.L..EE.L.NI..GGNI...HH 
 G  left 2		98 CCJK.MDDJK.MAA.L..EE.L.NIGG..NI...HH 
 L  down 2		98 CCJK.MDDJK.MAA....EE...NIGGL.NI..LHH 
 A right 4		96 CCJK.MDDJK.M....AAEE...NIGGL.NI..LHH 

A88 C94 D94 E79 G97 H60 I73 J82 K97 L87 N85 
[['C' 'C' 'J' 'K' '.' 'M']
 ['D' 'D' 'J' 'K' '.' 'M']
 ['.' '.' '.' '.' 'A' 'A']
 ['E' 'E' '.' '.' '.' 'N']
 ['I' 'G' 'G' 'L' '.' 'N']
 ['I' '.' '.' 'L' 'H' 'H']]
