4 0 4 F..BB.F.CCCK.AAIJKDDHIJLG.HI.LG.EEE. A90 B89 C97 D98 E81 F99 G98 H95 I98 J88 K95 L91 
4 0 4 F..BB.F.CCCKAA.IJKDDHIJLG.HI.LG.EEE. A89 B89 C97 D98 E81 F99 G98 H95 I98 J88 K95 L91 
4 0 4 F..BB.F.CCCKAA.I.KDDHIJLG.HIJLG.EEE. A89 B89 C97 D98 E81 F99 G98 H95 I98 J87 K95 L91 
4 0 4 F..BB.F.CCCKAA.I.KDDHIJ.G.HIJLG.EEEL A89 B89 C97 D98 E81 F99 G98 H95 I98 J87 K95 L90 
4 0 4 F...BBF.CCCKAA.I.KDDHIJ.G.HIJLG.EEEL A89 B88 C97 D98 E81 F99 G98 H95 I98 J87 K95 L90 
4 0 4 FBB...FCCC.K.AAIJKDDHIJLG.HI.LGEEE.. A90 B91 C96 D98 E82 F99 G98 H95 I98 J88 K95 L91 
4 0 4 F..BB.F.CCCK.AAIJKDDHIJLG.HI.LGEEE.. A90 B89 C97 D98 E82 F99 G98 H95 I98 J88 K95 L91 
4 0 4 F..BB.F.CCCKAA.IJKDDHIJLG.HI.LGEEE.. A91 B89 C97 D98 E82 F99 G98 H95 I98 J88 K95 L91 
4 0 4 F..BBKF.CCCKAA.IJ.DDHIJLG.HI.LGEEE.. A91 B89 C97 D98 E82 F99 G98 H95 I98 J88 K94 L91 
4 0 4 FBB...FCCC.KAA.IJKDDHIJ.G.HI.LGEEE.L A91 B91 C96 D98 E82 F99 G98 H95 I98 J88 K95 L92 
4 0 4 F...BBF.CCCKAA.IJKDDHIJ.G.HI.LGEEE.L A91 B88 C97 D98 E82 F99 G98 H95 I98 J88 K95 L92 
4 0 4 F..BB.F.CCCKAA.IJKDDHIJ.G.HI.LGEEE.L A91 B89 C97 D98 E82 F99 G98 H95 I98 J88 K95 L92 
4 0 4 FBB...F.CCCKAA.I.KDDHIJ.G.HIJLG.EEEL A91 B91 C97 D98 E83 F99 G98 H95 I98 J87 K95 L92 
4 0 4 FBB...FCCC.KAA.IJKDDHIJ.G.HI.LG.EEEL A91 B91 C96 D98 E83 F99 G98 H95 I98 J88 K95 L92 
4 0 4 F...BBF.CCCKAA.IJKDDHIJ.G.HI.LG.EEEL A91 B88 C97 D98 E83 F99 G98 H95 I98 J88 K95 L92 
4 0 4 F..BB.F.CCCKAA.IJKDDHIJ.G.HI.LG.EEEL A91 B89 C97 D98 E83 F99 G98 H95 I98 J88 K95 L92 
4 0 4 FBB...F.CCCKAA.IJKDDHIJLG.HI.LG.EEE. A91 B91 C97 D98 E83 F99 G98 H95 I98 J88 K95 L93 
4 0 4 FBB..KFCCC.KAA.IJ.DDHIJLG.HI.LG.EEE. A91 B91 C96 D98 E83 F99 G98 H95 I98 J88 K96 L93 
4 0 4 F..BBKFCCC.KAA.IJ.DDHIJLG.HI.LG.EEE. A91 B89 C96 D98 E83 F99 G98 H95 I98 J88 K96 L93 
4 0 4 F..BBKF.CCCKAA.IJ.DDHIJLG.HI.LG.EEE. A91 B89 C97 D98 E83 F99 G98 H95 I98 J88 K96 L93 
4 0 4 F.BB.KF.CCCKAA.IJ.DDHIJLG.HI.LG.EEE. A91 B90 C97 D98 E83 F99 G98 H95 I98 J88 K96 L93 
4 0 4 FBB...F.CCCKAA.I.KDDHIJLG.HIJLG.EEE. A91 B91 C97 D98 E83 F99 G98 H95 I98 J89 K95 L93 
4 0 4 FBB..KFCCC.KAA.I..DDHIJLG.HIJLG.EEE. A91 B91 C96 D98 E83 F99 G98 H95 I98 J89 K96 L93 
4 0 4 F..BBKF.CCCKAA.I..DDHIJLG.HIJLG.EEE. A91 B89 C97 D98 E83 F99 G98 H95 I98 J89 K96 L93 
4 0 4 F.BB.KF.CCCKAA.I..DDHIJLG.HIJLG.EEE. A91 B90 C97 D98 E83 F99 G98 H95 I98 J89 K96 L93 
4 0 4 F.BB.KF.CCCKAA.I..DDHIJ.G.HIJLG.EEEL A91 B90 C97 D98 E83 F99 G98 H95 I98 J89 K96 L92 
4 0 4 FBB..KF.CCCKAA.IJ.DDHIJLG.HI.LGEEE.. A91 B91 C97 D98 E84 F99 G98 H95 I98 J88 K96 L93 
4 0 4 FBB..KF.CCCKAA.IJ.DDHIJ.G.HI.LGEEE.L A91 B91 C97 D98 E84 F99 G98 H95 I98 J88 K96 L94 
4 0 4 FBB...F.CCCK.AAI.KDDHIJ.G.HIJLGEEE.L A92 B91 C97 D98 E84 F99 G98 H95 I98 J89 K95 L94 
4 0 4 FBB..KF.CCCKAA.I..DDHIJ.G.HIJLG.EEEL A91 B91 C97 D98 E85 F99 G98 H95 I98 J89 K96 L94 
4 0 4 F..BBKF.CCCKAA.IJ.DDHIJ.G.HI.LG.EEEL A91 B93 C97 D98 E85 F99 G98 H95 I98 J90 K96 L94 
