 K  down 1		99 BBBJL..CCJLMHAA..MHDD..M..IKEEFFIKGG 
 D right 2		98 BBBJL..CCJLMHAA..MH..DDM..IKEEFFIKGG 
 I    up 1		99 BBBJL..CCJLMHAA..MH.IDDM..IKEEFF.KGG 
 F right 1		99 BBBJL..CCJLMHAA..MH.IDDM..IKEE.FFKGG 
 H  down 2		98 BBBJL..CCJLM.AA..M..IDDMH.IKEEHFFKGG 
 A  left 1		99 BBBJL..CCJLMAA...M..IDDMH.IKEEHFFKGG 
 H    up 1		99 BBBJL..CCJLMAA...MH.IDDMH.IKEE.FFKGG 
 M    up 1		99 BBBJLM.CCJLMAA...MH.IDD.H.IKEE.FFKGG 
 F  left 1		99 BBBJLM.CCJLMAA...MH.IDD.H.IKEEFF.KGG 
 I  down 1		99 BBBJLM.CCJLMAA...MH..DD.H.IKEEFFIKGG 
 D right 1		99 BBBJLM.CCJLMAA...MH...DDH.IKEEFFIKGG 
 K    up 1		99 BBBJLM.CCJLMAA...MH..KDDH.IKEEFFI.GG 
 G  left 1		99 BBBJLM.CCJLMAA...MH..KDDH.IKEEFFIGG. 
 I    up 1		99 BBBJLM.CCJLMAA...MH.IKDDH.IKEEFF.GG. 
 G  left 1		99 BBBJLM.CCJLMAA...MH.IKDDH.IKEEFFGG.. 
 A right 2		98 BBBJLM.CCJLM..AA.MH.IKDDH.IKEEFFGG.. 
 G right 2		98 BBBJLM.CCJLM..AA.MH.IKDDH.IKEEFF..GG 
 F right 2		98 BBBJLM.CCJLM..AA.MH.IKDDH.IKEE..FFGG 
 H  down 1		99 BBBJLM.CCJLM..AA.M..IKDDH.IKEEH.FFGG 
 A  left 2		98 BBBJLM.CCJLMAA...M..IKDDH.IKEEH.FFGG 
 C  left 1		99 BBBJLMCC.JLMAA...M..IKDDH.IKEEH.FFGG 
 F  left 1		99 BBBJLMCC.JLMAA...M..IKDDH.IKEEHFF.GG 
 G  left 1		99 BBBJLMCC.JLMAA...M..IKDDH.IKEEHFFGG. 
 H    up 1		99 BBBJLMCC.JLMAA...MH.IKDDH.IKEE.FFGG. 
 A right 3		97 BBBJLMCC.JLM...AAMH.IKDDH.IKEE.FFGG. 
 G right 1		99 BBBJLMCC.JLM...AAMH.IKDDH.IKEE.FF.GG 
 F right 1		99 BBBJLMCC.JLM...AAMH.IKDDH.IKEE..FFGG 
 I    up 2		98 BBBJLMCCIJLM..IAAMH..KDDH..KEE..FFGG 
 F  left 2		98 BBBJLMCCIJLM..IAAMH..KDDH..KEEFF..GG 
 G  left 2		98 BBBJLMCCIJLM..IAAMH..KDDH..KEEFFGG.. 
 H    up 1		99 BBBJLMCCIJLMH.IAAMH..KDD...KEEFFGG.. 
 G right 1		99 BBBJLMCCIJLMH.IAAMH..KDD...KEEFF.GG. 
 F right 1		99 BBBJLMCCIJLMH.IAAMH..KDD...KEE.FFGG. 
 G right 1		99 BBBJLMCCIJLMH.IAAMH..KDD...KEE.FF.GG 
 K  down 1		99 BBBJLMCCIJLMH.IAAMH...DD...KEE.FFKGG 
 F  left 1		99 BBBJLMCCIJLMH.IAAMH...DD...KEEFF.KGG 
 D  left 3		97 BBBJLMCCIJLMH.IAAMHDD......KEEFF.KGG 
 K    up 1		99 BBBJLMCCIJLMH.IAAMHDDK.....KEEFF..GG 
 G  left 2		98 BBBJLMCCIJLMH.IAAMHDDK.....KEEFFGG.. 
 H  down 1		99 BBBJLMCCIJLM..IAAMHDDK..H..KEEFFGG.. 
 G right 1		99 BBBJLMCCIJLM..IAAMHDDK..H..KEEFF.GG. 
 F right 1		99 BBBJLMCCIJLM..IAAMHDDK..H..KEE.FFGG. 
 G right 1		99 BBBJLMCCIJLM..IAAMHDDK..H..KEE.FF.GG 
 F right 1		99 BBBJLMCCIJLM..IAAMHDDK..H..KEE..FFGG 
 H  down 1		99 BBBJLMCCIJLM..IAAM.DDK..H..KEEH.FFGG 
 D  left 1		99 BBBJLMCCIJLM..IAAMDD.K..H..KEEH.FFGG 
 F  left 1		99 BBBJLMCCIJLM..IAAMDD.K..H..KEEHFF.GG 
 G  left 1		99 BBBJLMCCIJLM..IAAMDD.K..H..KEEHFFGG. 
 M  down 1		99 BBBJL.CCIJLM..IAAMDD.K.MH..KEEHFFGG. 
 D right 1		99 BBBJL.CCIJLM..IAAM.DDK.MH..KEEHFFGG. 
 G right 1		99 BBBJL.CCIJLM..IAAM.DDK.MH..KEEHFF.GG 
 K  down 1		99 BBBJL.CCIJLM..IAAM.DD..MH..KEEHFFKGG 
 D  left 1		99 BBBJL.CCIJLM..IAAMDD...MH..KEEHFFKGG 
 I  down 2		98 BBBJL.CC.JLM...AAMDDI..MH.IKEEHFFKGG 
 K    up 1		99 BBBJL.CC.JLM...AAMDDIK.MH.IKEEHFF.GG 
 A  left 2		98 BBBJL.CC.JLM.AA..MDDIK.MH.IKEEHFF.GG 
 K    up 1		99 BBBJL.CC.JLM.AAK.MDDIK.MH.I.EEHFF.GG 
 E  left 1		99 BBBJL.CC.JLM.AAK.MDDIK.MH.IEE.HFF.GG 
 G  left 1		99 BBBJL.CC.JLM.AAK.MDDIK.MH.IEE.HFFGG. 
 M  down 2		98 BBBJL.CC.JL..AAK..DDIK.MH.IEEMHFFGGM 
 A  left 1		99 BBBJL.CC.JL.AA.K..DDIK.MH.IEEMHFFGGM 
 C right 1		99 BBBJL..CCJL.AA.K..DDIK.MH.IEEMHFFGGM 
 I    up 1		99 BBBJL..CCJL.AAIK..DDIK.MH..EEMHFFGGM 
 E  left 2		98 BBBJL..CCJL.AAIK..DDIK.MHEE..MHFFGGM 
 K  down 1		99 BBBJL..CCJL.AAI...DDIK.MHEEK.MHFFGGM 
 C  left 1		99 BBBJL.CC.JL.AAI...DDIK.MHEEK.MHFFGGM 
 J  down 1		99 BBB.L.CC.JL.AAIJ..DDIK.MHEEK.MHFFGGM 
 B right 1		99 .BBBL.CC.JL.AAIJ..DDIK.MHEEK.MHFFGGM 
 C right 1		99 .BBBL..CCJL.AAIJ..DDIK.MHEEK.MHFFGGM 
 M    up 3		97 .BBBLM.CCJLMAAIJ.MDDIK..HEEK..HFFGG. 
 G right 1		99 .BBBLM.CCJLMAAIJ.MDDIK..HEEK..HFF.GG 
 F right 1		99 .BBBLM.CCJLMAAIJ.MDDIK..HEEK..H.FFGG 
 M  down 2		98 .BBBL..CCJL.AAIJ.MDDIK.MHEEK.MH.FFGG 
 L  down 3		97 .BBB...CCJ..AAIJ.MDDIKLMHEEKLMH.FFGG 
 F  left 1		99 .BBB...CCJ..AAIJ.MDDIKLMHEEKLMHFF.GG 
 K  down 1		99 .BBB...CCJ..AAIJ.MDDI.LMHEEKLMHFFKGG 
 L    up 3		97 .BBBL..CCJL.AAIJ.MDDI..MHEEK.MHFFKGG 
 M    up 1		99 .BBBL..CCJLMAAIJ.MDDI..MHEEK..HFFKGG 
 J  down 1		99 .BBBL..CC.LMAAIJ.MDDIJ.MHEEK..HFFKGG 
 M    up 1		99 .BBBLM.CC.LMAAIJ.MDDIJ..HEEK..HFFKGG 
 L  down 3		97 .BBB.M.CC..MAAIJ.MDDIJL.HEEKL.HFFKGG 
 C right 2		98 .BBB.M...CCMAAIJ.MDDIJL.HEEKL.HFFKGG 
 M  down 2		98 .BBB.....CC.AAIJ.MDDIJLMHEEKLMHFFKGG 
 I    up 1		99 .BBB....ICC.AAIJ.MDD.JLMHEEKLMHFFKGG 
 D right 1		99 .BBB....ICC.AAIJ.M.DDJLMHEEKLMHFFKGG 
 H    up 1		99 .BBB....ICC.AAIJ.MHDDJLMHEEKLM.FFKGG 
 F  left 1		99 .BBB....ICC.AAIJ.MHDDJLMHEEKLMFF.KGG 
 M    up 2		98 .BBB.M..ICCMAAIJ.MHDDJL.HEEKL.FF.KGG 
 B right 1		99 ..BBBM..ICCMAAIJ.MHDDJL.HEEKL.FF.KGG 
 F right 1		99 ..BBBM..ICCMAAIJ.MHDDJL.HEEKL..FFKGG 
 H  down 1		99 ..BBBM..ICCMAAIJ.M.DDJL.HEEKL.HFFKGG 
 D  left 1		99 ..BBBM..ICCMAAIJ.MDD.JL.HEEKL.HFFKGG 
 M  down 1		99 ..BBB...ICCMAAIJ.MDD.JLMHEEKL.HFFKGG 
 I  down 1		99 ..BBB....CCMAAIJ.MDDIJLMHEEKL.HFFKGG 
 C  left 3		97 ..BBB.CC...MAAIJ.MDDIJLMHEEKL.HFFKGG 
 M  down 1		99 ..BBB.CC....AAIJ.MDDIJLMHEEKLMHFFKGG 
