 E  left 1		99 BBB.CC..KDDMJ.KAAMJEEE.MJFFLGG...LII 
 C  left 1		99 BBBCC...KDDMJ.KAAMJEEE.MJFFLGG...LII 
 J  down 1		99 BBBCC...KDDM..KAAMJEEE.MJFFLGGJ..LII 
 E right 1		99 BBBCC...KDDM..KAAMJ.EEEMJFFLGGJ..LII 
 M    up 1		99 BBBCCM..KDDM..KAAMJ.EEE.JFFLGGJ..LII 
 E right 1		99 BBBCCM..KDDM..KAAMJ..EEEJFFLGGJ..LII 
 J    up 2		98 BBBCCMJ.KDDMJ.KAAMJ..EEE.FFLGG...LII 
 F  left 1		99 BBBCCMJ.KDDMJ.KAAMJ..EEEFF.LGG...LII 
 K  down 3		97 BBBCCMJ..DDMJ..AAMJ..EEEFFKLGG..KLII 
 E  left 2		98 BBBCCMJ..DDMJ..AAMJEEE..FFKLGG..KLII 
 M  down 1		99 BBBCC.J..DDMJ..AAMJEEE.MFFKLGG..KLII 
 E right 1		99 BBBCC.J..DDMJ..AAMJ.EEEMFFKLGG..KLII 
 A  left 2		98 BBBCC.J..DDMJAA..MJ.EEEMFFKLGG..KLII 
 M    up 1		99 BBBCCMJ..DDMJAA..MJ.EEE.FFKLGG..KLII 
 A right 1		99 BBBCCMJ..DDMJ.AA.MJ.EEE.FFKLGG..KLII 
 D  left 2		98 BBBCCMJDD..MJ.AA.MJ.EEE.FFKLGG..KLII 
 E right 1		99 BBBCCMJDD..MJ.AA.MJ..EEEFFKLGG..KLII 
 K    up 1		99 BBBCCMJDD..MJ.AA.MJ.KEEEFFKLGG...LII 
 A right 1		99 BBBCCMJDD..MJ..AAMJ.KEEEFFKLGG...LII 
 D right 1		99 BBBCCMJ.DD.MJ..AAMJ.KEEEFFKLGG...LII 
 A  left 2		98 BBBCCMJ.DD.MJAA..MJ.KEEEFFKLGG...LII 
 K  down 1		99 BBBCCMJ.DD.MJAA..MJ..EEEFFKLGG..KLII 
 E  left 2		98 BBBCCMJ.DD.MJAA..MJEEE..FFKLGG..KLII 
 M  down 1		99 BBBCC.J.DD.MJAA..MJEEE.MFFKLGG..KLII 
 A right 1		99 BBBCC.J.DD.MJ.AA.MJEEE.MFFKLGG..KLII 
 E right 1		99 BBBCC.J.DD.MJ.AA.MJ.EEEMFFKLGG..KLII 
 C right 1		99 BBB.CCJ.DD.MJ.AA.MJ.EEEMFFKLGG..KLII 
 A right 1		99 BBB.CCJ.DD.MJ..AAMJ.EEEMFFKLGG..KLII 
 E  left 1		99 BBB.CCJ.DD.MJ..AAMJEEE.MFFKLGG..KLII 
 D  left 1		99 BBB.CCJDD..MJ..AAMJEEE.MFFKLGG..KLII 
 A  left 2		98 BBB.CCJDD..MJAA..MJEEE.MFFKLGG..KLII 
 E right 1		99 BBB.CCJDD..MJAA..MJ.EEEMFFKLGG..KLII 
 B right 1		99 .BBBCCJDD..MJAA..MJ.EEEMFFKLGG..KLII 
 A right 2		98 .BBBCCJDD..MJ..AAMJ.EEEMFFKLGG..KLII 
 D right 2		98 .BBBCCJ..DDMJ..AAMJ.EEEMFFKLGG..KLII 
 E  left 1		99 .BBBCCJ..DDMJ..AAMJEEE.MFFKLGG..KLII 
 A  left 2		98 .BBBCCJ..DDMJAA..MJEEE.MFFKLGG..KLII 
 D  left 1		99 .BBBCCJ.DD.MJAA..MJEEE.MFFKLGG..KLII 
 A right 1		99 .BBBCCJ.DD.MJ.AA.MJEEE.MFFKLGG..KLII 
 D  left 1		99 .BBBCCJDD..MJ.AA.MJEEE.MFFKLGG..KLII 
 J    up 1		99 JBBBCCJDD..MJ.AA.M.EEE.MFFKLGG..KLII 
 E right 1		99 JBBBCCJDD..MJ.AA.M..EEEMFFKLGG..KLII 
 D right 2		98 JBBBCCJ..DDMJ.AA.M..EEEMFFKLGG..KLII 
 E  left 2		98 JBBBCCJ..DDMJ.AA.MEEE..MFFKLGG..KLII 
 L    up 1		99 JBBBCCJ..DDMJ.AA.MEEEL.MFFKLGG..K.II 
 I  left 1		99 JBBBCCJ..DDMJ.AA.MEEEL.MFFKLGG..KII. 
 A right 1		99 JBBBCCJ..DDMJ..AAMEEEL.MFFKLGG..KII. 
 D  left 2		98 JBBBCCJDD..MJ..AAMEEEL.MFFKLGG..KII. 
 I right 1		99 JBBBCCJDD..MJ..AAMEEEL.MFFKLGG..K.II 
 L  down 1		99 JBBBCCJDD..MJ..AAMEEE..MFFKLGG..KLII 
 A  left 2		98 JBBBCCJDD..MJAA..MEEE..MFFKLGG..KLII 
 L    up 2		98 JBBBCCJDD..MJAAL.MEEEL.MFFK.GG..K.II 
 G  left 1		99 JBBBCCJDD..MJAAL.MEEEL.MFFKGG...K.II 
 I  left 1		99 JBBBCCJDD..MJAAL.MEEEL.MFFKGG...KII. 
