1 0 1 BBCCL.HDD.L.HAA.L.HIEEE..IJKFF..JKGG A94 B98 C98 D97 E92 F99 G99 H81 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L.HAA.L.HIEEE.HIJKFF..JKGG A94 B98 C98 D97 E92 F99 G99 H82 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.HIEEE.HIJKFFH.JKGG A93 B98 C98 D97 E92 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.HIEEE.HIJKFFH.JKGG A94 B98 C98 D96 E92 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L.HAA.L.HI.EEEHIJKFF..JKGG A94 B98 C98 D97 E93 F99 G99 H82 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L...AAL.HI.EEEHIJKFFH.JKGG A93 B98 C98 D97 E93 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.HI.EEEHIJKFFH.JKGG A93 B98 C98 D97 E93 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL...DDL..AA.L.HI.EEEHIJKFFH.JKGG A94 B98 C98 D96 E93 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.HI.EEEHIJKFFH.JKGG A94 B98 C98 D96 E93 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L...AAL.HIJEEEHIJKFFH..KGG A93 B98 C98 D97 E93 F99 G99 H83 I91 J97 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.HIJEEEHIJKFFH..KGG A93 B98 C98 D97 E93 F99 G99 H83 I91 J97 K98 L97 
1 0 1 BBCCL...DDL..AA.L.HIJEEEHIJKFFH..KGG A94 B98 C98 D96 E93 F99 G99 H83 I91 J97 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.HIJEEEHIJKFFH..KGG A94 B98 C98 D96 E93 F99 G99 H83 I91 J97 K98 L97 
1 0 1 BBCCL..DD.L.HAA.L.HIJEEEHIJKFF...KGG A94 B98 C98 D97 E93 F99 G99 H84 I91 J97 K98 L97 
1 0 1 BBCCL.HDD.L.H.AAL.HIJEEE.IJKFF...KGG A93 B98 C98 D97 E93 F99 G99 H85 I91 J97 K98 L97 
1 0 1 BBCCL.H.DDL.HAA.L.HIJEEE.IJKFF...KGG A94 B98 C98 D96 E93 F99 G99 H85 I91 J97 K98 L97 
1 0 1 BBCCL..DD.L..AA.L.H.JEEEHIJKFFHI.KGG A94 B98 C98 D97 E93 F99 G99 H83 I92 J97 K98 L97 
1 0 1 BBCCL..DD.L.HAA.L.H.JEEEHIJKFF.I.KGG A94 B98 C98 D97 E93 F99 G99 H84 I92 J97 K98 L97 
1 0 1 BBCCL.HDD.L.HAA.L.HI.EEE.IJKFF..JKGG A94 B98 C98 D97 E93 F99 G99 H85 I91 J98 K98 L97 
1 0 1 BBCCL..DD.L..AA.L.H..EEEHIJKFFHIJKGG A94 B98 C98 D97 E93 F99 G99 H83 I92 J98 K98 L97 
1 0 1 BBCCL..DD.L.HAA.L.H..EEEHIJKFF.IJKGG A94 B98 C98 D97 E93 F99 G99 H84 I92 J98 K98 L97 
1 0 1 BBCCL.HDD.L.HAA.L.H.EEE..IJKFF.IJKGG A94 B98 C98 D97 E94 F99 G99 H85 I92 J98 K98 L97 
1 0 1 BBCCL..DD.L..AA.L.HEEE..HIJKFFHIJKGG A94 B98 C98 D97 E95 F99 G99 H83 I92 J98 K98 L97 
1 0 1 BBCCL..DD.L.HAA.L.HEEE..HIJKFF.IJKGG A94 B98 C98 D97 E95 F99 G99 H84 I92 J98 K98 L97 
1 0 1 BBCCL.H.DDL.HAA.L.HEEE...IJKFF.IJKGG A94 B98 C98 D96 E95 F99 G99 H85 I92 J98 K98 L97 
1 0 1 BB..CCHDD.L.HAA.L.HEEEL..IJKFF.IJKGG A94 B98 C96 D97 E95 F99 G99 H85 I92 J98 K98 L98 
1 0 1 BB..CC.DD.L..AA.L.HEEEL.HIJKFFHIJKGG A94 B98 C96 D97 E95 F99 G99 H83 I92 J98 K98 L98 
