 I    up 1		99 BBCCLMDD..LM.AA.L.HIJFFFHIJK..H..KGG 
 H    up 1		99 BBCCLMDD..LMHAA.L.HIJFFFHIJK.....KGG 
 J  down 1		99 BBCCLMDD..LMHAA.L.HI.FFFHIJK....JKGG 
 F  left 1		99 BBCCLMDD..LMHAA.L.HIFFF.HIJK....JKGG 
 I  down 1		99 BBCCLMDD..LMHAA.L.H.FFF.HIJK...IJKGG 
 A right 1		99 BBCCLMDD..LMH.AAL.H.FFF.HIJK...IJKGG 
 I    up 2		98 BBCCLMDD..LMHIAAL.HIFFF.H.JK....JKGG 
 F right 1		99 BBCCLMDD..LMHIAAL.HI.FFFH.JK....JKGG 
 J    up 1		99 BBCCLMDD..LMHIAAL.HIJFFFH.JK.....KGG 
 H  down 1		99 BBCCLMDD..LM.IAAL.HIJFFFH.JK..H..KGG 
 D right 1		99 BBCCLM.DD.LM.IAAL.HIJFFFH.JK..H..KGG 
 I  down 1		99 BBCCLM.DD.LM..AAL.HIJFFFHIJK..H..KGG 
 J  down 1		99 BBCCLM.DD.LM..AAL.HI.FFFHIJK..H.JKGG 
 H    up 2		98 BBCCLMHDD.LMH.AAL.HI.FFF.IJK....JKGG 
 I  down 1		99 BBCCLMHDD.LMH.AAL.H..FFF.IJK...IJKGG 
 J    up 1		99 BBCCLMHDD.LMH.AAL.H.JFFF.IJK...I.KGG 
 H  down 1		99 BBCCLM.DD.LMH.AAL.H.JFFFHIJK...I.KGG 
 A  left 1		99 BBCCLM.DD.LMHAA.L.H.JFFFHIJK...I.KGG 
 J  down 1		99 BBCCLM.DD.LMHAA.L.H..FFFHIJK...IJKGG 
 F  left 2		98 BBCCLM.DD.LMHAA.L.HFFF..HIJK...IJKGG 
 H    up 1		99 BBCCLMHDD.LMHAA.L.HFFF...IJK...IJKGG 
 F right 1		99 BBCCLMHDD.LMHAA.L.H.FFF..IJK...IJKGG 
 I    up 1		99 BBCCLMHDD.LMHAA.L.HIFFF..IJK....JKGG 
 H  down 2		98 BBCCLM.DD.LM.AA.L.HIFFF.HIJK..H.JKGG 
 A  left 1		99 BBCCLM.DD.LMAA..L.HIFFF.HIJK..H.JKGG 
 I  down 1		99 BBCCLM.DD.LMAA..L.H.FFF.HIJK..HIJKGG 
 F  left 1		99 BBCCLM.DD.LMAA..L.HFFF..HIJK..HIJKGG 
 L  down 2		98 BBCC.M.DD..MAA..L.HFFFL.HIJKL.HIJKGG 
 D right 2		98 BBCC.M...DDMAA..L.HFFFL.HIJKL.HIJKGG 
 C right 1		99 BB.CCM...DDMAA..L.HFFFL.HIJKL.HIJKGG 
 A right 2		98 BB.CCM...DDM..AAL.HFFFL.HIJKL.HIJKGG 
 H    up 1		99 BB.CCM...DDMH.AAL.HFFFL.HIJKL..IJKGG 
 A  left 1		99 BB.CCM...DDMHAA.L.HFFFL.HIJKL..IJKGG 
 H    up 1		99 BB.CCMH..DDMHAA.L.HFFFL..IJKL..IJKGG 
 M  down 3		97 BB.CC.H..DD.HAA.L.HFFFLM.IJKLM.IJKGG 
 H  down 2		98 BB.CC....DD..AA.L.HFFFLMHIJKLMHIJKGG 
 D right 1		99 BB.CC.....DD.AA.L.HFFFLMHIJKLMHIJKGG 
 A  left 1		99 BB.CC.....DDAA..L.HFFFLMHIJKLMHIJKGG 
 D  left 4		96 BB.CC.DD....AA..L.HFFFLMHIJKLMHIJKGG 
 L    up 1		99 BB.CC.DD..L.AA..L.HFFFLMHIJK.MHIJKGG 
 M    up 3		97 BB.CCMDD..LMAA..L.HFFFL.HIJK..HIJKGG 
 A right 2		98 BB.CCMDD..LM..AAL.HFFFL.HIJK..HIJKGG 
 H    up 1		99 BB.CCMDD..LMH.AAL.HFFFL.HIJK...IJKGG 
 A  left 1		99 BB.CCMDD..LMHAA.L.HFFFL.HIJK...IJKGG 
 M  down 3		97 BB.CC.DD..L.HAA.L.HFFFLMHIJK.M.IJKGG 
 D right 1		99 BB.CC..DD.L.HAA.L.HFFFLMHIJK.M.IJKGG 
 H  down 1		99 BB.CC..DD.L..AA.L.HFFFLMHIJK.MHIJKGG 
 M    up 3		97 BB.CCM.DD.LM.AA.L.HFFFL.HIJK..HIJKGG 
 L  down 1		99 BB.CCM.DD..M.AA.L.HFFFL.HIJKL.HIJKGG 
 D right 1		99 BB.CCM..DD.M.AA.L.HFFFL.HIJKL.HIJKGG 
 B right 1		99 .BBCCM..DD.M.AA.L.HFFFL.HIJKL.HIJKGG 
 H    up 3		97 HBBCCMH.DD.MHAA.L..FFFL..IJKL..IJKGG 
 F  left 1		99 HBBCCMH.DD.MHAA.L.FFF.L..IJKL..IJKGG 
 K    up 1		99 HBBCCMH.DD.MHAA.L.FFFKL..IJKL..IJ.GG 
 D  left 1		99 HBBCCMHDD..MHAA.L.FFFKL..IJKL..IJ.GG 
 K    up 2		98 HBBCCMHDDK.MHAAKL.FFF.L..IJ.L..IJ.GG 
 F right 1		99 HBBCCMHDDK.MHAAKL..FFFL..IJ.L..IJ.GG 
 G  left 1		99 HBBCCMHDDK.MHAAKL..FFFL..IJ.L..IJGG. 
 L    up 1		99 HBBCCMHDDKLMHAAKL..FFFL..IJ....IJGG. 
 H  down 3		97 .BBCCM.DDKLM.AAKL.HFFFL.HIJ...HIJGG. 
 G right 1		99 .BBCCM.DDKLM.AAKL.HFFFL.HIJ...HIJ.GG 
 H    up 2		98 .BBCCMHDDKLMHAAKL.HFFFL..IJ....IJ.GG 
 M  down 3		97 .BBCC.HDDKL.HAAKL.HFFFLM.IJ..M.IJ.GG 
 G  left 1		99 .BBCC.HDDKL.HAAKL.HFFFLM.IJ..M.IJGG. 
 M  down 1		99 .BBCC.HDDKL.HAAKL.HFFFL..IJ..M.IJGGM 
 L  down 1		99 .BBCC.HDDK..HAAKL.HFFFL..IJ.LM.IJGGM 
 H  down 2		98 .BBCC..DDK...AAKL.HFFFL.HIJ.LMHIJGGM 
 M    up 1		99 .BBCC..DDK...AAKL.HFFFLMHIJ.LMHIJGG. 
 G right 1		99 .BBCC..DDK...AAKL.HFFFLMHIJ.LMHIJ.GG 
 H    up 1		99 .BBCC..DDK..HAAKL.HFFFLMHIJ.LM.IJ.GG 
 D  left 1		99 .BBCC.DD.K..HAAKL.HFFFLMHIJ.LM.IJ.GG 
 G  left 1		99 .BBCC.DD.K..HAAKL.HFFFLMHIJ.LM.IJGG. 
 M  down 1		99 .BBCC.DD.K..HAAKL.HFFFL.HIJ.LM.IJGGM 
 L    up 1		99 .BBCC.DD.KL.HAAKL.HFFFL.HIJ..M.IJGGM 
 M    up 4		96 .BBCCMDD.KLMHAAKL.HFFFL.HIJ....IJGG. 
 G right 1		99 .BBCCMDD.KLMHAAKL.HFFFL.HIJ....IJ.GG 
 B  left 1		99 BB.CCMDD.KLMHAAKL.HFFFL.HIJ....IJ.GG 
 H  down 1		99 BB.CCMDD.KLM.AAKL.HFFFL.HIJ...HIJ.GG 
 G  left 1		99 BB.CCMDD.KLM.AAKL.HFFFL.HIJ...HIJGG. 
 L  down 1		99 BB.CCMDD.K.M.AAKL.HFFFL.HIJ.L.HIJGG. 
 H    up 1		99 BB.CCMDD.K.MHAAKL.HFFFL.HIJ.L..IJGG. 
 D right 1		99 BB.CCM.DDK.MHAAKL.HFFFL.HIJ.L..IJGG. 
 G right 1		99 BB.CCM.DDK.MHAAKL.HFFFL.HIJ.L..IJ.GG 
 H  down 1		99 BB.CCM.DDK.M.AAKL.HFFFL.HIJ.L.HIJ.GG 
 A  left 1		99 BB.CCM.DDK.MAA.KL.HFFFL.HIJ.L.HIJ.GG 
 G  left 1		99 BB.CCM.DDK.MAA.KL.HFFFL.HIJ.L.HIJGG. 
 L    up 1		99 BB.CCM.DDKLMAA.KL.HFFFL.HIJ...HIJGG. 
 M  down 4		96 BB.CC..DDKL.AA.KL.HFFFL.HIJ..MHIJGGM 
 A right 1		99 BB.CC..DDKL..AAKL.HFFFL.HIJ..MHIJGGM 
 M    up 1		99 BB.CC..DDKL..AAKL.HFFFLMHIJ..MHIJGG. 
 G right 1		99 BB.CC..DDKL..AAKL.HFFFLMHIJ..MHIJ.GG 
 H    up 1		99 BB.CC..DDKL.HAAKL.HFFFLMHIJ..M.IJ.GG 
 C  left 1		99 BBCC...DDKL.HAAKL.HFFFLMHIJ..M.IJ.GG 
 G  left 1		99 BBCC...DDKL.HAAKL.HFFFLMHIJ..M.IJGG. 
 M  down 1		99 BBCC...DDKL.HAAKL.HFFFL.HIJ..M.IJGGM 
 L  down 1		99 BBCC...DDK..HAAKL.HFFFL.HIJ.LM.IJGGM 
 H  down 1		99 BBCC...DDK...AAKL.HFFFL.HIJ.LMHIJGGM 
 M    up 4		96 BBCC.M.DDK.M.AAKL.HFFFL.HIJ.L.HIJGG. 
 H    up 2		98 BBCC.MHDDK.MHAAKL.HFFFL..IJ.L..IJGG. 
 G right 1		99 BBCC.MHDDK.MHAAKL.HFFFL..IJ.L..IJ.GG 
 L    up 2		98 BBCCLMHDDKLMHAAKL.HFFF...IJ....IJ.GG 
 F right 2		98 BBCCLMHDDKLMHAAKL.H..FFF.IJ....IJ.GG 
 G  left 1		99 BBCCLMHDDKLMHAAKL.H..FFF.IJ....IJGG. 
 J    up 1		99 BBCCLMHDDKLMHAAKL.H.JFFF.IJ....I.GG. 
 G  left 1		99 BBCCLMHDDKLMHAAKL.H.JFFF.IJ....IGG.. 
 I    up 1		99 BBCCLMHDDKLMHAAKL.HIJFFF.IJ.....GG.. 
 G right 2		98 BBCCLMHDDKLMHAAKL.HIJFFF.IJ.......GG 
 H  down 2		98 BBCCLM.DDKLM.AAKL.HIJFFFHIJ...H...GG 
 G  left 3		97 BBCCLM.DDKLM.AAKL.HIJFFFHIJ...HGG... 
 H    up 1		99 BBCCLM.DDKLMHAAKL.HIJFFFHIJ....GG... 
 G right 2		98 BBCCLM.DDKLMHAAKL.HIJFFFHIJ......GG. 
 J  down 1		99 BBCCLM.DDKLMHAAKL.HI.FFFHIJ.....JGG. 
 G right 1		99 BBCCLM.DDKLMHAAKL.HI.FFFHIJ.....J.GG 
 F  left 1		99 BBCCLM.DDKLMHAAKL.HIFFF.HIJ.....J.GG 
 I  down 1		99 BBCCLM.DDKLMHAAKL.H.FFF.HIJ....IJ.GG 
 G  left 1		99 BBCCLM.DDKLMHAAKL.H.FFF.HIJ....IJGG. 
 H  down 1		99 BBCCLM.DDKLM.AAKL.H.FFF.HIJ...HIJGG. 
 I    up 1		99 BBCCLM.DDKLM.AAKL.HIFFF.HIJ...H.JGG. 
 H    up 2		98 BBCCLMHDDKLMHAAKL.HIFFF..IJ.....JGG. 
 M  down 4		96 BBCCL.HDDKL.HAAKL.HIFFF..IJ..M..JGGM 
 I  down 1		99 BBCCL.HDDKL.HAAKL.H.FFF..IJ..M.IJGGM 
 M    up 1		99 BBCCL.HDDKL.HAAKL.H.FFFM.IJ..M.IJGG. 
 G right 1		99 BBCCL.HDDKL.HAAKL.H.FFFM.IJ..M.IJ.GG 
 I    up 1		99 BBCCL.HDDKL.HAAKL.HIFFFM.IJ..M..J.GG 
 H  down 2		98 BBCCL..DDKL..AAKL.HIFFFMHIJ..MH.J.GG 
 A  left 1		99 BBCCL..DDKL.AA.KL.HIFFFMHIJ..MH.J.GG 
 G  left 1		99 BBCCL..DDKL.AA.KL.HIFFFMHIJ..MH.JGG. 
 M  down 1		99 BBCCL..DDKL.AA.KL.HIFFF.HIJ..MH.JGGM 
 I  down 1		99 BBCCL..DDKL.AA.KL.H.FFF.HIJ..MHIJGGM 
 F right 1		99 BBCCL..DDKL.AA.KL.H..FFFHIJ..MHIJGGM 
 J    up 1		99 BBCCL..DDKL.AA.KL.H.JFFFHIJ..MHI.GGM 
 G  left 1		99 BBCCL..DDKL.AA.KL.H.JFFFHIJ..MHIGG.M 
 I    up 1		99 BBCCL..DDKL.AA.KL.HIJFFFHIJ..MH.GG.M 
 G  left 1		99 BBCCL..DDKL.AA.KL.HIJFFFHIJ..MHGG..M 
 A right 1		99 BBCCL..DDKL..AAKL.HIJFFFHIJ..MHGG..M 
 G right 2		98 BBCCL..DDKL..AAKL.HIJFFFHIJ..MH..GGM 
 J  down 1		99 BBCCL..DDKL..AAKL.HI.FFFHIJ..MH.JGGM 
 H    up 1		99 BBCCL..DDKL.HAAKL.HI.FFFHIJ..M..JGGM 
 I  down 1		99 BBCCL..DDKL.HAAKL.H..FFFHIJ..M.IJGGM 
 J    up 1		99 BBCCL..DDKL.HAAKL.H.JFFFHIJ..M.I.GGM 
 G  left 1		99 BBCCL..DDKL.HAAKL.H.JFFFHIJ..M.IGG.M 
 I    up 1		99 BBCCL..DDKL.HAAKL.HIJFFFHIJ..M..GG.M 
 G  left 2		98 BBCCL..DDKL.HAAKL.HIJFFFHIJ..MGG...M 
 J  down 1		99 BBCCL..DDKL.HAAKL.HI.FFFHIJ..MGGJ..M 
