4 4 0 .JBBCC.JK...AAK.MN.DDLMNIFFL.NIGG.HH G99 H98 I99 M99 
4 4 0 .JBBCC.JK...AAK.MN.DDLMNIFFL.NI.GGHH G98 H98 I99 M99 
4 4 0 .JBBCC.JK..NAAKL.NIDDLMNIFF.M.GG..HH H98 L99 M98 N99 
4 4 0 .JBBCC.JKL.NAAKL.NIDD.MNIFF.M.GG..HH H98 L98 M98 N99 
4 4 0 .JBBCC.JK..NAAK..NIDD.MNIFFLM.GG.LHH H98 L99 M98 N99 
4 4 0 .JBBCC.JK..NAAK..NIDDLMNIFFLM..GG.HH G99 H98 M98 N99 
4 4 0 .JBBCC.JK..NAAK..NIDDLMNIFFLM...GGHH G98 H98 M98 N99 
4 4 0 .JBBCC.JK...AAKL.NIDDLMNI.FFMNGG..HH F99 H98 L99 M98 
4 4 0 .JBBCC.JK...AAKL.NIDDLMNIFF.MN.GG.HH G99 H98 L99 M98 
4 4 0 .JBBCC.JK...AAKL.NIDDLMNIFF.MN..GGHH G98 H98 L99 M98 
4 4 0 .JBBCC.JKL..AAKL.NI.DDMNIFF.MNGG..HH D99 H98 L98 M98 
4 4 0 .JBBCC.JKL..AAKL.NIDD.MNI.FFMNGG..HH F99 H98 L98 M98 
4 4 0 .JBBCC.JKL..AAKL.NIDD.MNIFF.MN.GG.HH G99 H98 L98 M98 
4 4 0 .JBBCC.JKL..AAKL.NIDD.MNIFF.MN..GGHH G98 H98 L98 M98 
4 4 0 .JBBCC.JK...AAK..NI.DDMNIFFLMNGG.LHH D99 H98 L99 M98 
4 4 0 .JBBCC.JK...AAK..NIDD.MNIFFLMN.GGLHH G99 H98 L99 M98 
4 4 0 .JBBCC.JK...AAK..N.DDLMNIFFLMNIGG.HH G99 H98 I99 M98 
4 4 0 .JBBCC.JK...AAK..N.DDLMNIFFLMNI.GGHH G98 H98 I99 M98 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NI.FF..GG..HH F99 H98 L99 N99 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NI..FF.GG..HH F98 H98 L99 N99 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NI...FFGG..HH F97 H98 L99 N99 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NIFF....GG.HH G99 H98 L99 N99 
4 4 0 .JBBCC.JK.MNAAKLMNIDDL.NIFF.....GGHH G98 H98 L99 N99 
4 4 0 .JBBCC.JKLMNAAKLMNI.DD.NIFF...GG..HH D99 H98 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNI..DDNIFF...GG..HH D98 H98 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NI.FF..GG..HH F99 H98 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NI..FF.GG..HH F98 H98 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NI...FFGG..HH F97 H98 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NIFF....GG.HH G99 H98 L98 N99 
4 4 0 .JBBCC.JKLMNAAKLMNIDD..NIFF.....GGHH G98 H98 L98 N99 
4 4 0 .JBBCC.JK.MNAAK.MNI.DD.NIFFL..GG.LHH D99 H98 L99 N99 
4 4 0 .JBBCC.JK.MNAAK.MNI..DDNIFFL..GG.LHH D98 H98 L99 N99 
4 4 0 .JBBCC.JK.MNAAK.MNIDD..NIFFL...GGLHH G99 H98 L99 N99 
4 4 0 .JBBCC.JK.MNAAK.MN.DDL.NIFFL..IGG.HH G99 H98 I99 N99 
4 4 0 .JBBCC.JK.MNAAK.MN.DDL.NIFFL..I.GGHH G98 H98 I99 N99 
4 4 0 .JBBCC.JK.M.AAKLMNIDDL.NI.FF.N.GG.HH F99 G99 H98 L99 
4 4 0 .JBBCC.JK.M.AAKLMNIDDL.NI.FF.N..GGHH F99 G98 H98 L99 
4 4 0 .JBBCC.JK.M.AAKLMNIDDL.NI..FFN.GG.HH F98 G99 H98 L99 
4 4 0 .JBBCC.JK.M.AAKLMNIDDL.NI..FFN..GGHH F98 G98 H98 L99 
4 4 0 .JBBCC.JK.M.AAKLMN.DDL.NIFF..NIGG.HH G99 H98 I99 L99 
4 4 0 .JBBCC.JK.M.AAKLMN.DDL.NIFF..NI.GGHH G98 H98 I99 L99 
4 4 0 .JBBCC.JKLM.AAKLMNI.DD.NI.FF.NGG..HH D99 F99 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI.DD.NI..FFNGG..HH D99 F98 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI.DD.NIFF..N.GG.HH D99 G99 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI.DD.NIFF..N..GGHH D99 G98 H98 L98 
4 4 0 .JBBCC.J.LM.AAKLMNI.KDDNIFF..NGG..HH D98 H98 K99 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI..DDNI.FF.NGG..HH D98 F99 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI..DDNI..FFNGG..HH D98 F98 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI..DDNIFF..N.GG.HH D98 G99 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNI..DDNIFF..N..GGHH D98 G98 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNIDD..NI.FF.N.GG.HH F99 G99 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNIDD..NI.FF.N..GGHH F99 G98 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNIDD..NI..FFN.GG.HH F98 G99 H98 L98 
4 4 0 .JBBCC.JKLM.AAKLMNIDD..NI..FFN..GGHH F98 G98 H98 L98 
